<<<<<<< HEAD
1.000000000000000000e+01 1.000000000000000000e+01 2.073004009756904864e+01
1.500000000000000000e+01 1.500000000000000000e+01 1.271668601221402284e+01
2.000000000000000000e+01 2.000000000000000000e+01 8.572632009549229437e+00
2.500000000000000000e+01 2.500000000000000000e+01 8.717384198597663669e+00
3.000000000000000000e+01 3.000000000000000000e+01 6.737408399035469841e+00
3.500000000000000000e+01 3.500000000000000000e+01 4.892334060593023004e+00
4.000000000000000000e+01 4.000000000000000000e+01 4.007653076581632057e+00
4.500000000000000000e+01 4.500000000000000000e+01 3.636750162784586404e+00
5.000000000000000000e+01 5.000000000000000000e+01 3.293459380104492684e+00
5.500000000000000000e+01 5.500000000000000000e+01 3.282896775017896118e+00
6.000000000000000000e+01 6.000000000000000000e+01 2.756013985596983407e+00
6.500000000000000000e+01 6.500000000000000000e+01 2.520554898848187619e+00
7.000000000000000000e+01 7.000000000000000000e+01 2.222881212953859542e+00
7.500000000000000000e+01 7.500000000000000000e+01 1.966518424154853673e+00
8.000000000000000000e+01 8.000000000000000000e+01 1.927184206022359181e+00
8.500000000000000000e+01 8.500000000000000000e+01 1.921852117894799594e+00
9.000000000000000000e+01 9.000000000000000000e+01 1.671493340830809915e+00
9.500000000000000000e+01 9.500000000000000000e+01 1.637487717799176234e+00
1.000000000000000000e+02 1.000000000000000000e+02 1.575731595698285137e+00
1.050000000000000000e+02 1.050000000000000000e+02 1.400793733269149355e+00
1.100000000000000000e+02 1.100000000000000000e+02 1.394498849681492292e+00
1.150000000000000000e+02 1.150000000000000000e+02 1.305873585694150130e+00
1.200000000000000000e+02 1.200000000000000000e+02 1.275328968050528422e+00
1.250000000000000000e+02 1.250000000000000000e+02 1.168180609925962621e+00
1.300000000000000000e+02 1.300000000000000000e+02 1.150431959552741690e+00
1.350000000000000000e+02 1.350000000000000000e+02 1.088233174926825031e+00
1.400000000000000000e+02 1.400000000000000000e+02 1.035517186993700989e+00
1.450000000000000000e+02 1.450000000000000000e+02 9.436343989457880443e-01
1.500000000000000000e+02 1.500000000000000000e+02 8.928791142399615799e-01
1.550000000000000000e+02 1.550000000000000000e+02 9.062349219045253701e-01
1.600000000000000000e+02 1.600000000000000000e+02 8.960712546182451055e-01
1.650000000000000000e+02 1.650000000000000000e+02 9.179958432417493208e-01
1.700000000000000000e+02 1.700000000000000000e+02 8.358365257592682562e-01
1.750000000000000000e+02 1.750000000000000000e+02 7.995092729051385128e-01
1.800000000000000000e+02 1.800000000000000000e+02 7.718266033453859976e-01
1.850000000000000000e+02 1.840000000000000000e+02 8.146825073537918849e-01
1.900000000000000000e+02 1.900000000000000000e+02 8.023366678342030989e-01
1.950000000000000000e+02 1.950000000000000000e+02 7.247512659280536118e-01
2.000000000000000000e+02 2.000000000000000000e+02 6.591020172664235899e-01
2.050000000000000000e+02 2.050000000000000000e+02 7.110456851768448550e-01
2.100000000000000000e+02 2.100000000000000000e+02 6.848368117784320308e-01
2.150000000000000000e+02 2.150000000000000000e+02 6.536208666470229023e-01
2.200000000000000000e+02 2.200000000000000000e+02 6.147362642045390846e-01
2.250000000000000000e+02 2.240000000000000000e+02 6.522243070361410933e-01
2.300000000000000000e+02 2.300000000000000000e+02 5.758848321726869335e-01
2.350000000000000000e+02 2.350000000000000000e+02 5.761724928059831496e-01
2.400000000000000000e+02 2.390000000000000000e+02 5.448627929050221530e-01
2.450000000000000000e+02 2.450000000000000000e+02 5.550545167048609452e-01
2.500000000000000000e+02 2.490000000000000000e+02 5.469825200623813499e-01
2.550000000000000000e+02 2.550000000000000000e+02 5.190710707275911773e-01
2.600000000000000000e+02 2.600000000000000000e+02 5.717780674247020523e-01
2.650000000000000000e+02 2.650000000000000000e+02 5.124871017626416725e-01
2.700000000000000000e+02 2.700000000000000000e+02 4.990164627374571449e-01
2.750000000000000000e+02 2.750000000000000000e+02 4.866289908143878740e-01
2.800000000000000000e+02 2.800000000000000000e+02 4.934166339337060503e-01
2.850000000000000000e+02 2.840000000000000000e+02 4.879889125976637487e-01
2.900000000000000000e+02 2.900000000000000000e+02 4.749354335602120059e-01
2.950000000000000000e+02 2.950000000000000000e+02 4.496031710663620506e-01
3.000000000000000000e+02 2.970000000000000000e+02 4.687807738920832801e-01
3.050000000000000000e+02 3.040000000000000000e+02 4.522492871476225806e-01
3.100000000000000000e+02 3.100000000000000000e+02 4.174162583593866160e-01
3.150000000000000000e+02 3.150000000000000000e+02 4.321589948940848247e-01
3.200000000000000000e+02 3.200000000000000000e+02 4.061633461910507115e-01
3.250000000000000000e+02 3.240000000000000000e+02 4.109204525134415031e-01
3.300000000000000000e+02 3.300000000000000000e+02 3.887915637233915200e-01
3.350000000000000000e+02 3.350000000000000000e+02 4.032576200340517447e-01
3.400000000000000000e+02 3.400000000000000000e+02 3.977095918396633123e-01
3.450000000000000000e+02 3.440000000000000000e+02 3.910344164290768809e-01
3.500000000000000000e+02 3.500000000000000000e+02 3.810923515082783042e-01
3.550000000000000000e+02 3.540000000000000000e+02 3.565580922613605375e-01
3.600000000000000000e+02 3.580000000000000000e+02 3.647725197837546895e-01
3.650000000000000000e+02 3.620000000000000000e+02 3.635798247760792523e-01
3.700000000000000000e+02 3.670000000000000000e+02 3.478373579241986202e-01
3.750000000000000000e+02 3.750000000000000000e+02 3.558808182937481246e-01
3.800000000000000000e+02 3.800000000000000000e+02 3.517899327039386015e-01
3.850000000000000000e+02 3.850000000000000000e+02 3.432532027610021297e-01
3.900000000000000000e+02 3.890000000000000000e+02 3.269764673460565096e-01
3.950000000000000000e+02 3.940000000000000000e+02 3.464235120731274375e-01
4.000000000000000000e+02 3.990000000000000000e+02 3.161699924669790218e-01
4.050000000000000000e+02 4.010000000000000000e+02 3.188693619243407884e-01
4.100000000000000000e+02 4.090000000000000000e+02 3.233928014733734035e-01
4.150000000000000000e+02 4.110000000000000000e+02 3.094172383036034590e-01
4.200000000000000000e+02 4.190000000000000000e+02 2.993922709886531197e-01
4.250000000000000000e+02 4.250000000000000000e+02 2.984409459956686717e-01
4.300000000000000000e+02 4.300000000000000000e+02 2.968111187456440869e-01
4.350000000000000000e+02 4.350000000000000000e+02 2.956805664330856009e-01
4.400000000000000000e+02 4.400000000000000000e+02 2.881306359314351195e-01
4.450000000000000000e+02 4.370000000000000000e+02 2.830479612492446950e-01
4.500000000000000000e+02 4.470000000000000000e+02 2.645372514933094221e-01
4.550000000000000000e+02 4.490000000000000000e+02 2.711610210694164191e-01
4.600000000000000000e+02 4.580000000000000000e+02 2.727123034616765196e-01
4.650000000000000000e+02 4.640000000000000000e+02 2.692062664344322398e-01
4.700000000000000000e+02 4.660000000000000000e+02 2.652121773149189177e-01
4.750000000000000000e+02 4.730000000000000000e+02 2.527404788157087134e-01
4.800000000000000000e+02 4.770000000000000000e+02 2.541476845830940023e-01
4.850000000000000000e+02 4.850000000000000000e+02 2.624929644962495923e-01
4.900000000000000000e+02 4.900000000000000000e+02 2.451132191847221475e-01
4.950000000000000000e+02 4.930000000000000000e+02 2.448820307647516514e-01
=======
7.500000000000000000e+01 7.400000000000000000e+01 1.858971259286167196e+03
>>>>>>> b8932e46cae621415f9d71ba92e3537d0142041f
