fips,cluster
1001,14
1003,14
1009,3
1011,14
1013,14
1015,3
1017,14
1019,3
1021,14
1023,41
1027,14
1029,3
1033,20
1037,14
1039,14
1041,14
1043,20
1047,14
1049,3
1051,14
1053,14
1055,3
1059,20
1063,14
1069,14
1071,3
1073,14
1075,49
1077,20
1079,20
1081,14
1083,20
1085,14
1087,14
1089,20
1091,14
1093,20
1095,3
1097,41
1099,14
1101,14
1103,20
1107,14
1109,14
1111,3
1113,14
1115,14
1117,14
1121,14
1123,14
1125,14
1127,20
1129,41
1131,14
1133,20
2020,52
2090,51
2110,15
2122,52
2130,8
2170,52
4001,30
4003,36
4005,30
4007,30
4009,36
4012,44
4013,30
4015,44
4017,30
4019,36
4021,36
4023,36
4025,30
4027,44
5001,49
5003,27
5005,23
5007,23
5009,23
5011,27
5017,49
5019,27
5023,49
5025,49
5027,27
5029,49
5031,49
5033,23
5035,49
5037,49
5041,49
5043,49
5045,49
5051,27
5053,49
5055,49
5057,27
5059,27
5061,27
5063,49
5069,49
5071,23
5075,49
5079,49
5085,49
5099,27
5105,49
5109,27
5111,49
5113,27
5115,23
5119,49
5121,49
5125,49
5129,23
5131,23
5133,27
5137,49
5139,27
5141,49
5143,23
5145,49
5147,49
6001,35
6005,35
6007,35
6009,35
6011,35
6013,35
6017,35
6019,10
6021,35
6023,16
6025,44
6027,10
6029,10
6031,10
6037,56
6039,10
6041,35
6045,35
6047,10
6051,12
6053,35
6055,35
6057,35
6059,56
6061,35
6065,56
6067,35
6069,35
6071,56
6073,56
6075,35
6077,35
6079,10
6081,35
6083,10
6085,35
6087,35
6089,35
6093,16
6095,35
6097,35
6099,35
6101,35
6107,10
6109,35
6111,56
6113,35
6115,35
8001,42
8003,28
8005,42
8009,55
8013,42
8014,42
8015,42
8019,42
8023,42
8025,55
8029,28
8031,42
8035,42
8037,42
8039,42
8041,42
8043,42
8045,28
8049,42
8051,28
8053,28
8055,42
8059,42
8063,55
8067,28
8069,42
8073,55
8075,55
8077,28
8079,28
8081,28
8085,28
8087,55
8089,55
8093,42
8097,28
8101,42
8105,28
8107,42
8113,28
8117,42
8119,42
8121,55
8123,42
8125,55
9001,54
9003,29
9005,29
9007,29
9009,29
9011,37
9013,29
9015,37
10001,26
10003,54
10005,26
11001,26
12001,9
12003,9
12005,14
12007,9
12009,2
12011,2
12015,2
12017,9
12019,9
12021,2
12023,9
12027,2
12031,9
12033,14
12035,9
12039,14
12051,2
12053,9
12055,2
12057,9
