,fips,cluster,long,lat,deaths,clusterDeaths,state,county
147,4027.0,1,-114.59866299999999,32.650040000000004,3,109,ClusterState,cluster0
140,6025.0,1,-115.53448700000001,32.841101,11,109,ClusterState,cluster0
114,6059.0,1,-117.86288,33.733953,74,109,ClusterState,cluster0
154,4012.0,1,-114.172146,33.908361,2,109,ClusterState,cluster0
99,6111.0,1,-119.02501799999999,34.241989000000004,19,109,ClusterState,cluster0
174,4025.0,2,-112.26776699999999,34.629014,4,102,ClusterState,cluster1
83,6083.0,2,-120.092602,34.639262,11,102,ClusterState,cluster1
153,4015.0,2,-114.24963400000001,35.069679,23,102,ClusterState,cluster1
75,6079.0,2,-120.667689,35.342391,1,102,ClusterState,cluster1
105,6029.0,2,-118.936004,35.372968,16,102,ClusterState,cluster1
91,6031.0,2,-119.72908400000001,36.242748999999996,1,102,ClusterState,cluster1
97,6107.0,2,-119.23154699999999,36.251227,46,102,ClusterState,cluster1
136,32023.0,3,-116.165792,36.468656,0,106,ClusterState,cluster2
56,6053.0,3,-121.64616200000002,36.611722,6,106,ClusterState,cluster2
88,6019.0,3,-119.76788400000001,36.738918,9,106,ClusterState,cluster2
60,6069.0,3,-121.40385900000001,36.843404,2,106,ClusterState,cluster2
51,6087.0,3,-121.936728,36.985171,2,106,ClusterState,cluster2
84,6039.0,3,-120.00675,37.043099,2,106,ClusterState,cluster2
170,49025.0,3,-112.425977,37.114838,0,106,ClusterState,cluster2
162,49053.0,3,-113.519705,37.135163,0,106,ClusterState,cluster2
111,6027.0,3,-118.267513,37.160247,1,106,ClusterState,cluster2
77,6047.0,3,-120.623989,37.281015999999994,3,106,ClusterState,cluster2
85,6043.0,3,-119.957219,37.542747999999996,0,106,ClusterState,cluster2
41,6081.0,3,-122.34099099999999,37.56395,62,106,ClusterState,cluster2
68,6099.0,3,-120.955577,37.619147,19,106,ClusterState,cluster2
146,32017.0,4,-114.644504,37.6903,0,105,ClusterState,cluster3
47,6001.0,4,-122.100393,37.705201,72,105,ClusterState,cluster3
163,49021.0,4,-113.073838,37.709161,0,105,ClusterState,cluster3
39,6075.0,4,-122.438323,37.759598,33,105,ClusterState,cluster3
178,49017.0,5,-112.088923,37.76185,0,139,ClusterState,cluster4
103,6051.0,5,-118.97059399999999,37.763321999999995,1,139,ClusterState,cluster4
63,6077.0,5,-121.29810800000001,37.931804,28,139,ClusterState,cluster4
50,6013.0,5,-122.03013100000001,37.935588,32,139,ClusterState,cluster4
81,6109.0,5,-120.32853,37.971531,0,139,ClusterState,cluster4
36,6041.0,5,-122.547075,37.986705,14,139,ClusterState,cluster4
76,6009.0,5,-120.63371799999999,38.163627000000005,0,139,ClusterState,cluster4
49,6095.0,5,-122.069324,38.235582,7,139,ClusterState,cluster4
175,49031.0,5,-112.20816200000002,38.288475,0,139,ClusterState,cluster4
43,6055.0,5,-122.321646,38.329075,2,139,ClusterState,cluster4
72,6005.0,5,-120.775729,38.394208,0,139,ClusterState,cluster4
30,6097.0,5,-122.720522,38.41408,4,139,ClusterState,cluster4
61,6067.0,5,-121.38086100000001,38.56895,51,139,ClusterState,cluster4
107,32021.0,6,-118.63869299999999,38.590037,0,122,ClusterState,cluster5
54,6113.0,6,-121.721112,38.598913,20,122,ClusterState,cluster5
86,6003.0,6,-119.847603,38.728297999999995,0,122,ClusterState,cluster5
73,6017.0,6,-120.74433,38.746543,0,122,ClusterState,cluster5
180,49041.0,6,-112.042048,38.77474,0,122,ClusterState,cluster5
66,6061.0,6,-121.18246599999999,38.844511,8,122,ClusterState,cluster5
89,32005.0,6,-119.755928,38.956913,0,122,ClusterState,cluster5
29,6033.0,6,-122.734609,38.973362,0,122,ClusterState,cluster5
57,6101.0,6,-121.644269,39.135490000000004,2,122,ClusterState,cluster5
59,6115.0,6,-121.506626,39.13883,1,122,ClusterState,cluster5
48,6011.0,6,-122.08555700000001,39.156147999999995,0,122,ClusterState,cluster5
90,32510.0,6,-119.75371100000001,39.166134,1,122,ClusterState,cluster5
169,49027.0,6,-112.494882,39.214604,0,122,ClusterState,cluster5
69,6057.0,6,-120.916546,39.219524,1,122,ClusterState,cluster5
143,32033.0,6,-114.862381,39.273238,0,122,ClusterState,cluster5
11,6045.0,6,-123.397227,39.285329,0,122,ClusterState,cluster5
95,32019.0,6,-119.32513300000001,39.34878,0,122,ClusterState,cluster5
106,32001.0,6,-118.79566100000001,39.473584,1,122,ClusterState,cluster5
87,32031.0,6,-119.795493,39.535558,39,122,ClusterState,cluster5
46,6021.0,6,-122.17749099999999,39.663418,0,122,ClusterState,cluster5
55,6007.0,6,-121.70763500000001,39.669037,0,122,ClusterState,cluster5
71,6063.0,6,-120.825847,39.983857,0,122,ClusterState,cluster5
45,6103.0,6,-122.218704,40.115187,1,122,ClusterState,cluster5
125,32015.0,6,-116.94321000000001,40.520911,0,122,ClusterState,cluster5
172,49045.0,6,-112.379217,40.56078,0,122,ClusterState,cluster5
44,6089.0,6,-122.29996100000001,40.580269,4,122,ClusterState,cluster5
187,49035.0,6,-111.922762,40.646321,44,122,ClusterState,cluster5
3,6023.0,7,-124.087189,40.752982,0,101,ClusterState,cluster6
141,32007.0,7,-115.51859499999999,40.870907,1,101,ClusterState,cluster6
185,49011.0,7,-111.95875600000001,41.01957,2,101,ClusterState,cluster6
117,32013.0,7,-117.74505500000001,41.034176,3,101,ClusterState,cluster6
183,49057.0,7,-111.990305,41.224614,2,101,ClusterState,cluster6
37,6093.0,7,-122.489833,41.576203,0,101,ClusterState,cluster6
177,49003.0,7,-112.09976999999999,41.591026,1,101,ClusterState,cluster6
2,6015.0,7,-124.16308799999999,41.791232,0,101,ClusterState,cluster6
0,41015.0,7,-124.328547,42.249909,0,101,ClusterState,cluster6
53,41035.0,7,-121.724883,42.281867,0,101,ClusterState,cluster6
25,41029.0,7,-122.85831599999999,42.346990000000005,0,101,ClusterState,cluster6
12,41033.0,7,-123.38680900000001,42.404127,1,101,ClusterState,cluster6
160,16031.0,7,-113.74183300000001,42.482791,1,101,ClusterState,cluster6
148,16083.0,7,-114.504002,42.558563,11,101,ClusterState,cluster6
161,16067.0,7,-113.712227,42.613265999999996,0,101,ClusterState,cluster6
149,16053.0,7,-114.46266899999999,42.698446999999994,2,101,ClusterState,cluster6
165,16077.0,7,-112.829004,42.775001,0,101,ClusterState,cluster6
145,16047.0,7,-114.75106699999999,42.852717,0,101,ClusterState,cluster6
171,16005.0,7,-112.423672,42.869212,0,101,ClusterState,cluster6
150,16063.0,7,-114.32606899999999,42.973467,0,101,ClusterState,cluster6
139,16039.0,7,-115.68440700000001,43.115320000000004,2,101,ClusterState,cluster6
173,16011.0,7,-112.355721,43.217372,0,101,ClusterState,cluster6
13,41019.0,7,-123.386761,43.237446999999996,0,101,ClusterState,cluster6
1,41011.0,7,-124.231247,43.305343,0,101,ClusterState,cluster6
144,16025.0,7,-114.756451,43.350524,0,101,ClusterState,cluster6
130,16073.0,7,-116.68155800000001,43.376748,0,101,ClusterState,cluster6
182,16019.0,7,-111.997623,43.494876,0,101,ClusterState,cluster6
102,41025.0,7,-118.98673799999999,43.522141,0,101,ClusterState,cluster6
151,16013.0,7,-114.29427700000001,43.541366,5,101,ClusterState,cluster6
135,16001.0,7,-116.304409,43.611186,19,101,ClusterState,cluster6
132,16027.0,7,-116.627276,43.611438,6,101,ClusterState,cluster6
184,16051.0,7,-111.969394,43.691123,0,101,ClusterState,cluster6
133,16045.0,7,-116.506739,43.884322999999995,0,101,ClusterState,cluster6
123,41045.0,7,-117.062987,43.971312,0,101,ClusterState,cluster6
128,16075.0,7,-116.894281,44.020334000000005,2,101,ClusterState,cluster6
17,41039.0,7,-123.117351,44.038338,2,101,ClusterState,cluster6
62,41017.0,7,-121.30565,44.092071000000004,0,101,ClusterState,cluster6
157,16037.0,7,-114.04803500000001,44.285168,0,101,ClusterState,cluster6
70,41013.0,7,-120.839327,44.285942999999996,0,101,ClusterState,cluster6
127,16087.0,7,-116.919922,44.297897999999996,0,101,ClusterState,cluster6
101,41023.0,7,-119.001015,44.450864,0,101,ClusterState,cluster6
20,41043.0,7,-122.95961799999999,44.554621000000004,8,101,ClusterState,cluster6
14,41003.0,7,-123.278972,44.571181,5,101,ClusterState,cluster6
65,41031.0,7,-121.193198,44.601999,0,101,ClusterState,cluster6
4,41041.0,7,-124.00086100000001,44.712447,0,101,ClusterState,cluster6
138,16085.0,7,-116.073719,44.758677,0,101,ClusterState,cluster6
116,41001.0,7,-117.76548700000001,44.779398,0,101,ClusterState,cluster6
134,16003.0,7,-116.375947,44.848619,0,101,ClusterState,cluster6
15,41053.0,7,-123.211525,44.920133,5,101,ClusterState,cluster6
21,41047.0,7,-122.954793,44.961690000000004,23,101,ClusterState,cluster6
159,16059.0,8,-113.86153,45.127412,0,106,ClusterState,cluster7
167,30001.0,8,-112.69618600000001,45.221056,0,106,ClusterState,cluster7
16,41071.0,8,-123.14044799999999,45.237712,7,106,ClusterState,cluster7
112,41061.0,8,-118.019473,45.341758,0,106,ClusterState,cluster7
34,41005.0,8,-122.57415,45.363365,9,106,ClusterState,cluster7
186,30057.0,8,-111.94921699999999,45.435990000000004,1,106,ClusterState,cluster7
119,41063.0,8,-117.310593,45.443081,0,106,ClusterState,cluster7
6,41057.0,8,-123.858675,45.467428000000005,0,106,ClusterState,cluster7
24,41067.0,8,-122.87064099999999,45.48421,12,106,ClusterState,cluster7
32,41051.0,8,-122.588705,45.517889000000004,53,106,ClusterState,cluster7
74,41055.0,8,-120.726192,45.522409,0,106,ClusterState,cluster7
64,41065.0,8,-121.20259399999999,45.536003,1,106,ClusterState,cluster7
58,41027.0,8,-121.56313200000001,45.655533,0,106,ClusterState,cluster7
35,53011.0,8,-122.561881,45.679487,23,106,ClusterState,cluster7
52,53059.0,9,-121.925675,45.691396999999995,0,152,ClusterState,cluster8
92,41049.0,9,-119.61275800000001,45.730088,0,152,ClusterState,cluster8
67,53039.0,9,-121.132931,45.797495,3,152,ClusterState,cluster8
104,41059.0,9,-118.952064,45.798618,1,152,ClusterState,cluster8
22,41009.0,9,-122.93005,45.893189,0,152,ClusterState,cluster8
137,16049.0,9,-116.10656599999999,45.974127,0,152,ClusterState,cluster8
168,30093.0,9,-112.52435600000001,45.98796,0,152,ClusterState,cluster8
109,53071.0,9,-118.39018200000001,46.077821,2,152,ClusterState,cluster8
7,41007.0,9,-123.837442,46.098033,0,152,ClusterState,cluster8
23,53015.0,9,-122.89995800000001,46.137731,0,152,ClusterState,cluster8
