,fips,cluster,long,lat,deaths,clusterDeaths,state,county
98,6111.0,1,-119.02501799999999,34.241989000000004,16,52,ClusterState,cluster0
83,6083.0,1,-120.092602,34.639262,5,52,ClusterState,cluster0
75,6079.0,1,-120.667689,35.342391,1,52,ClusterState,cluster0
103,6029.0,1,-118.936004,35.372968,4,52,ClusterState,cluster0
90,6031.0,1,-119.72908400000001,36.242748999999996,1,52,ClusterState,cluster0
96,6107.0,1,-119.23154699999999,36.251227,25,52,ClusterState,cluster0
56,6053.0,2,-121.64616200000002,36.611722,4,59,ClusterState,cluster1
87,6019.0,2,-119.76788400000001,36.738918,7,59,ClusterState,cluster1
60,6069.0,2,-121.40385900000001,36.843404,2,59,ClusterState,cluster1
51,6087.0,2,-121.936728,36.985171,2,59,ClusterState,cluster1
84,6039.0,2,-120.00675,37.043099,2,59,ClusterState,cluster1
77,6047.0,2,-120.623989,37.281015999999994,3,59,ClusterState,cluster1
41,6081.0,2,-122.34099099999999,37.56395,39,59,ClusterState,cluster1
68,6099.0,3,-120.955577,37.619147,5,53,ClusterState,cluster2
47,6001.0,3,-122.100393,37.705201,48,53,ClusterState,cluster2
39,6075.0,4,-122.438323,37.759598,21,67,ClusterState,cluster3
101,6051.0,4,-118.97059399999999,37.763321999999995,1,67,ClusterState,cluster3
63,6077.0,4,-121.29810800000001,37.931804,22,67,ClusterState,cluster3
50,6013.0,4,-122.03013100000001,37.935588,23,67,ClusterState,cluster3
81,6109.0,5,-120.32853,37.971531,0,60,ClusterState,cluster4
36,6041.0,5,-122.547075,37.986705,11,60,ClusterState,cluster4
76,6009.0,5,-120.63371799999999,38.163627000000005,0,60,ClusterState,cluster4
49,6095.0,5,-122.069324,38.235582,4,60,ClusterState,cluster4
43,6055.0,5,-122.321646,38.329075,2,60,ClusterState,cluster4
72,6005.0,5,-120.775729,38.394208,0,60,ClusterState,cluster4
30,6097.0,5,-122.720522,38.41408,2,60,ClusterState,cluster4
61,6067.0,5,-121.38086100000001,38.56895,41,60,ClusterState,cluster4
54,6113.0,6,-121.721112,38.598913,12,50,ClusterState,cluster5
85,6003.0,6,-119.847603,38.728297999999995,0,50,ClusterState,cluster5
73,6017.0,6,-120.74433,38.746543,0,50,ClusterState,cluster5
66,6061.0,6,-121.18246599999999,38.844511,8,50,ClusterState,cluster5
88,32005.0,6,-119.755928,38.956913,0,50,ClusterState,cluster5
29,6033.0,6,-122.734609,38.973362,0,50,ClusterState,cluster5
57,6101.0,6,-121.644269,39.135490000000004,2,50,ClusterState,cluster5
59,6115.0,6,-121.506626,39.13883,1,50,ClusterState,cluster5
48,6011.0,6,-122.08555700000001,39.156147999999995,0,50,ClusterState,cluster5
89,32510.0,6,-119.75371100000001,39.166134,1,50,ClusterState,cluster5
69,6057.0,6,-120.916546,39.219524,1,50,ClusterState,cluster5
11,6045.0,6,-123.397227,39.285329,0,50,ClusterState,cluster5
94,32019.0,6,-119.32513300000001,39.34878,0,50,ClusterState,cluster5
86,32031.0,6,-119.795493,39.535558,22,50,ClusterState,cluster5
46,6021.0,6,-122.17749099999999,39.663418,0,50,ClusterState,cluster5
55,6007.0,6,-121.70763500000001,39.669037,0,50,ClusterState,cluster5
71,6063.0,6,-120.825847,39.983857,0,50,ClusterState,cluster5
45,6103.0,6,-122.218704,40.115187,0,50,ClusterState,cluster5
44,6089.0,6,-122.29996100000001,40.580269,3,50,ClusterState,cluster5
3,6023.0,7,-124.087189,40.752982,0,50,ClusterState,cluster6
37,6093.0,7,-122.489833,41.576203,0,50,ClusterState,cluster6
2,6015.0,7,-124.16308799999999,41.791232,0,50,ClusterState,cluster6
0,41015.0,7,-124.328547,42.249909,0,50,ClusterState,cluster6
53,41035.0,7,-121.724883,42.281867,0,50,ClusterState,cluster6
25,41029.0,7,-122.85831599999999,42.346990000000005,0,50,ClusterState,cluster6
12,41033.0,7,-123.38680900000001,42.404127,1,50,ClusterState,cluster6
13,41019.0,7,-123.386761,43.237446999999996,0,50,ClusterState,cluster6
1,41011.0,7,-124.231247,43.305343,0,50,ClusterState,cluster6
17,41039.0,7,-123.117351,44.038338,1,50,ClusterState,cluster6
62,41017.0,7,-121.30565,44.092071000000004,0,50,ClusterState,cluster6
70,41013.0,7,-120.839327,44.285942999999996,0,50,ClusterState,cluster6
100,41023.0,7,-119.001015,44.450864,0,50,ClusterState,cluster6
20,41043.0,7,-122.95961799999999,44.554621000000004,6,50,ClusterState,cluster6
14,41003.0,7,-123.278972,44.571181,5,50,ClusterState,cluster6
65,41031.0,7,-121.193198,44.601999,0,50,ClusterState,cluster6
4,41041.0,7,-124.00086100000001,44.712447,0,50,ClusterState,cluster6
15,41053.0,7,-123.211525,44.920133,1,50,ClusterState,cluster6
21,41047.0,7,-122.954793,44.961690000000004,14,50,ClusterState,cluster6
16,41071.0,7,-123.14044799999999,45.237712,6,50,ClusterState,cluster6
34,41005.0,7,-122.57415,45.363365,6,50,ClusterState,cluster6
6,41057.0,7,-123.858675,45.467428000000005,0,50,ClusterState,cluster6
24,41067.0,7,-122.87064099999999,45.48421,10,50,ClusterState,cluster6
32,41051.0,8,-122.588705,45.517889000000004,33,50,ClusterState,cluster7
74,41055.0,8,-120.726192,45.522409,0,50,ClusterState,cluster7
64,41065.0,8,-121.20259399999999,45.536003,0,50,ClusterState,cluster7
58,41027.0,8,-121.56313200000001,45.655533,0,50,ClusterState,cluster7
35,53011.0,8,-122.561881,45.679487,17,50,ClusterState,cluster7
52,53059.0,9,-121.925675,45.691396999999995,0,88,ClusterState,cluster8
91,41049.0,9,-119.61275800000001,45.730088,0,88,ClusterState,cluster8
67,53039.0,9,-121.132931,45.797495,3,88,ClusterState,cluster8
102,41059.0,9,-118.952064,45.798618,0,88,ClusterState,cluster8
22,41009.0,9,-122.93005,45.893189,0,88,ClusterState,cluster8
7,41007.0,9,-123.837442,46.098033,0,88,ClusterState,cluster8
23,53015.0,9,-122.89995800000001,46.137731,0,88,ClusterState,cluster8
95,53005.0,9,-119.276099,46.229003999999996,38,88,ClusterState,cluster8
10,53069.0,9,-123.428851,46.236785,0,88,ClusterState,cluster8
97,53021.0,9,-119.11931000000001,46.304218,5,88,ClusterState,cluster8
79,53077.0,9,-120.41618999999999,46.515822,42,88,ClusterState,cluster8
5,53049.0,10,-123.896075,46.528108,0,50,ClusterState,cluster9
27,53041.0,10,-122.832505,46.617975,3,50,ClusterState,cluster9
99,53001.0,10,-119.02242,46.865676,0,50,ClusterState,cluster9
8,53027.0,10,-123.76763000000001,46.991374,0,50,ClusterState,cluster9
26,53067.0,10,-122.840989,46.999072999999996,1,50,ClusterState,cluster9
78,53037.0,10,-120.623911,47.047742,0,50,ClusterState,cluster9
93,53025.0,10,-119.469973,47.141696,2,50,ClusterState,cluster9
40,53053.0,10,-122.410936,47.179454,44,50,ClusterState,cluster9
18,53045.0,11,-123.03693100000001,47.287955,0,56,ClusterState,cluster10
82,53017.0,11,-120.172826,47.511897,1,56,ClusterState,cluster10
80,53007.0,11,-120.344707,47.530217,6,56,ClusterState,cluster10
31,53035.0,11,-122.632791,47.613056,2,56,ClusterState,cluster10
28,53031.0,11,-122.825295,48.008216,0,56,ClusterState,cluster10
9,53009.0,11,-123.451968,48.094258,0,56,ClusterState,cluster10
33,53029.0,11,-122.57658799999999,48.206288,9,56,ClusterState,cluster10
92,53047.0,11,-119.57833600000001,48.446246,1,56,ClusterState,cluster10
