fips,long,lat
1001,-86.494165,32.500389
1003,-87.762381,30.548923
1005,-85.310038,31.844036
1007,-87.127659,33.030921
1009,-86.591491,33.955243
1011,-85.701192,32.116327
1013,-86.65355,31.773539
1015,-85.819442,33.72546
1017,-85.266474,32.860439
1019,-85.629194,34.179333
1021,-86.687406,32.877547
1023,-88.264164,32.016562
1025,-87.815673,31.685685
1027,-85.820227,33.272412
1029,-85.494315,33.62977
1031,-85.904715,31.354433
1033,-87.685151,34.723385
1035,-86.996483,31.418674
1037,-86.155035,32.975932
1039,-86.410955,31.282449
1041,-86.29708,31.743487
1043,-86.831859,34.162362
1045,-85.641269,31.383346
1047,-87.034955,32.408815
1049,-85.817208,34.45511
1051,-86.225647,32.559652
1053,-87.282053,31.088737
1055,-86.025393,34.013693
1057,-87.770355,33.726422
1059,-87.793594,34.460481
1061,-85.788849,31.09426
1063,-87.924,32.830505
1065,-87.626084,32.775804
1067,-85.268828,31.478593
1069,-85.391221,31.20455
1071,-85.938698,34.731984
1073,-86.814688,33.518601
1075,-88.109649,33.762769
1077,-87.608759,34.866179
1079,-87.272414,34.543683
1081,-85.345833,32.588092
1083,-86.938972,34.815612
1085,-86.618688,32.162415
1087,-85.715007,32.425739
1089,-86.613232,34.746392
1091,-87.800648,32.340479
1093,-87.8743,34.111797
1095,-86.293279,34.311974
1097,-88.170637,30.683993
1099,-87.360894,31.505611
1101,-86.243797,32.346175
1103,-86.930781,34.514252
1105,-87.369219,32.581066
1107,-88.066472,33.292973
1109,-85.948647,31.787277
1111,-85.427266,33.257607
1113,-85.062843,32.421972
1115,-86.369107,33.660628
1117,-86.737978,33.290719
1119,-88.232646,32.57442
1121,-86.169238,33.372083
1123,-85.864503,32.85306
1125,-87.520229,33.214154
1127,-87.253922,33.834858
1129,-88.18612,31.410368
1131,-87.380407,31.999753
1133,-87.415693,34.163824
2013,-162.901536,54.860151
2016,-168.292885,54.023571
2020,-149.793182,61.192232
2050,-162.151263,60.679946
2060,-156.834047,58.735464
