 fips  cluster       long  ...  clusterLat  clusterLong  distance
25  21131.0        0 -83.376350  ...   39.430763   -83.736914  2.343413
14  21051.0        0 -83.746759  ...   39.430763   -83.736914  2.261187
28  21193.0        0 -83.201060  ...   39.430763   -83.736914  2.238229
34  21119.0        0 -82.940555  ...   39.430763   -83.736914  2.248895
7   21109.0        0 -83.993680  ...   39.430763   -83.736914  2.044152
17  21189.0        0 -83.684099  ...   39.430763   -83.736914  1.979371
24  21025.0        0 -83.377680  ...   39.430763   -83.736914  1.944149
37  21071.0        0 -82.738526  ...   39.430763   -83.736914  2.127301
35  21115.0        0 -82.813992  ...   39.430763   -83.736914  1.848112
10  21197.0        0 -83.881130  ...   39.430763   -83.736914  1.585045
27  21175.0        0 -83.266566  ...   39.430763   -83.736914  1.589221
18  21165.0        0 -83.598399  ...   39.430763   -83.736914  1.497733
3   21049.0        0 -84.182232  ...   39.430763   -83.736914  1.511048
8   21173.0        0 -83.917436  ...   39.430763   -83.736914  1.406622
38  21127.0        0 -82.681643  ...   39.430763   -83.736914  1.714898
15  21011.0        0 -83.736560  ...   39.430763   -83.736914  1.291322
22  21205.0        0 -83.442318  ...   39.430763   -83.736914  1.270766
30  21043.0        0 -83.038160  ...   39.430763   -83.736914  1.317774
5   21181.0        0 -84.023779  ...   39.430763   -83.736914  1.139798
16  21069.0        0 -83.708286  ...   39.430763   -83.736914  1.042590
40  21019.0        0 -82.666548  ...   39.430763   -83.736914  1.464036
42  39087.0        0 -82.540684  ...   39.430763   -83.736914  1.513829
36  21089.0        0 -82.812206  ...   39.430763   -83.736914  1.273300
26  21135.0        0 -83.347091  ...   39.430763   -83.736914  0.951730
13  21161.0        0 -83.788535  ...   39.430763   -83.736914  0.816000
4   21023.0        0 -84.070088  ...   39.430763   -83.736914  0.800801
33  39145.0        0 -82.945444  ...   39.430763   -83.736914  1.023621
20  39001.0        0 -83.517043  ...   39.430763   -83.736914  0.622538
9   39015.0        0 -83.892944  ...   39.430763   -83.736914  0.507201
41  39079.0        0 -82.610661  ...   39.430763   -83.736914  1.193346
29  39131.0        0 -83.038173  ...   39.430763   -83.736914  0.780057
1   39025.0        0 -84.212568  ...   39.430763   -83.736914  0.577396
19  39071.0        0 -83.581988  ...   39.430763   -83.736914  0.261529
31  39141.0        0 -83.022104  ...   39.430763   -83.736914  0.720464
11  39027.0        0 -83.842336  ...   39.430763   -83.736914  0.107342
21  39047.0        0 -83.443808  ...   39.430763   -83.736914  0.316325
32  39129.0        0 -82.993084  ...   39.430763   -83.736914  0.780295
6   39057.0        0 -83.996686  ...   39.430763   -83.736914  0.393554
2   39113.0        0 -84.207549  ...   39.430763   -83.736914  0.566539
39  39045.0        0 -82.666944  ...   39.430763   -83.736914  1.130303
23  39097.0        0 -83.379953  ...   39.430763   -83.736914  0.609159
12  39023.0        0 -83.832287  ...   39.430763   -83.736914  0.505463
0   39109.0        0 -84.234863  ...   39.430763   -83.736914  0.792203


