,fips,cluster,long,lat,deaths,clusterDeaths,state,county,clusterLat,clusterLong,distance
115,6059.0,2,-117.86288,33.733953,76,111,ClusterState,cluster2,33.70628082882883,-117.67634108108109,0.18858026760179145
100,6111.0,2,-119.02501799999999,34.241989000000004,19,111,ClusterState,cluster2,33.70628082882883,-117.67634108108109,1.4511763077876283
106,6029.0,3,-118.936004,35.372968,16,105,ClusterState,cluster3,35.607921504761904,-117.8911238,1.0709704859387725
92,6031.0,3,-119.72908400000001,36.242748999999996,1,105,ClusterState,cluster3,35.607921504761904,-117.8911238,1.9445060158030762
98,6107.0,3,-119.23154699999999,36.251227,48,105,ClusterState,cluster3,35.607921504761904,-117.8911238,1.4868006979086816
57,6053.0,4,-121.64616200000002,36.611722,6,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,0.8010889839480396
61,6069.0,4,-121.40385900000001,36.843404,2,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,0.6335335863010155
52,6087.0,4,-121.936728,36.985171,2,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,0.49631621104479207
85,6039.0,4,-120.00675,37.043099,2,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,1.7167088892047027
78,6047.0,4,-120.623989,37.281015999999994,3,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,1.0674372226944446
86,6043.0,4,-119.957219,37.542747999999996,0,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,1.7310956343687327
42,6081.0,4,-122.34099099999999,37.56395,65,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,0.6749635638991482
69,6099.0,4,-120.955577,37.619147,21,111,ClusterState,cluster4,37.41194661261261,-121.68336589189188,0.756709106390751
48,6001.0,5,-122.100393,37.705201,75,109,ClusterState,cluster5,37.72216887155963,-122.20580235779816,0.10676629326096258
40,6075.0,5,-122.438323,37.759598,34,109,ClusterState,cluster5,37.72216887155963,-122.20580235779816,0.23551388219329805
64,6077.0,6,-121.29810800000001,37.931804,29,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.48290973074356064
51,6013.0,6,-122.03013100000001,37.935588,32,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.4304784316872367
82,6109.0,6,-120.32853,37.971531,0,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,1.386904674506238
37,6041.0,6,-122.547075,37.986705,14,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.8795072251734006
77,6009.0,6,-120.63371799999999,38.163627000000005,0,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,1.0625601287180089
50,6095.0,6,-122.069324,38.235582,7,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.3750482294696758
44,6055.0,6,-122.321646,38.329075,2,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.6381481087410387
73,6005.0,6,-120.775729,38.394208,0,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.9386937169585058
31,6097.0,6,-122.720522,38.41408,4,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,1.0459480090368962
62,6067.0,6,-121.38086100000001,38.56895,52,141,ClusterState,cluster6,38.206292680851064,-121.69542119148937,0.4800712917912493
108,32021.0,7,-118.63869299999999,38.590037,0,123,ClusterState,cluster7,39.755534008130084,-117.5279761300813,1.6099923108767147
96,32019.0,7,-119.32513300000001,39.34878,0,123,ClusterState,cluster7,39.755534008130084,-117.5279761300813,1.8426127206295686
107,32001.0,7,-118.79566100000001,39.473584,1,123,ClusterState,cluster7,39.755534008130084,-117.5279761300813,1.2986611322840809
